Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

16,01	0,19	4,0	5,9	5,0
16,04	0,18	4,0	5,9	5,0
16,06	0,18	4,0	5,9	5,0
16,09	0,18	4,0	5,9	5,0
16,11	0,18	4,0	5,9	5,0
16,14	0,17	4,0	5,9	5,0
16,16	0,17	4,0	5,9	5,0
16,19	0,17	4,0	5,9	5,0
16,21	0,17	4,0	5,9	5,0
16,23	0,16	4,0	5,9	5,0
16,26	0,17	4,0	5,9	5,0
16,28	0,17	4,0	5,9	5,0
16,31	0,16	4,0	5,9	5,0
16,33	0,16	4,0	5,9	5,0
16,36	0,17	4,0	5,9	5,0
16,38	0,17	4,0	5,9	5,0
16,41	0,16	4,0	5,9	5,0
16,43	0,16	4,0	5,9	5,0
16,45	0,17	4,0	5,9	5,0
16,48	0,17	4,0	5,9	5,0
16,50	0,16	4,0	5,9	5,0
16,53	0,17	4,0	5,9	5,0
16,55	0,18	4,0	5,9	5,0
16,58	0,18	4,0	5,9	5,0
16,60	0,17	4,0	5,9	5,0
16,63	0,17	4,0	5,9	5,0
