Voltage U1	Corriente IA	Voltage U2	Voltage U3	Voltage UH
U1/V	IA/nA	U2/V	U3/V	UH/V

16,16	49,99	1,0	5,9	7,0
16,19	49,99	1,0	5,9	7,0
16,21	49,99	1,0	5,9	7,0
16,23	49,99	1,0	5,9	7,0
16,26	49,99	1,0	5,9	7,0
16,28	49,99	1,0	5,9	7,0
16,31	49,99	1,0	5,9	7,0
16,33	49,99	1,0	5,9	7,0
16,36	49,99	1,0	5,9	7,0
16,38	49,99	1,0	5,9	7,0
16,41	49,99	1,0	5,9	7,0
16,43	49,99	1,0	5,9	7,0
16,45	49,99	1,0	5,9	7,0
16,48	49,99	1,0	5,9	7,0
16,50	49,99	1,0	5,9	7,0
16,53	49,99	1,0	5,9	7,0
16,55	49,99	1,0	5,9	7,0
16,58	49,99	1,0	5,9	7,0
16,60	49,99	1,0	5,9	7,0
16,63	49,99	1,0	5,9	7,0
